dataset_id,case_id,delta_dice
Task001_BrainTumour,BRATS_001,-0.000188410231932
Task001_BrainTumour,BRATS_002,-0.000446961374165
Task001_BrainTumour,BRATS_003,-0.0006185530019727
Task001_BrainTumour,BRATS_004,-0.0002971243490977
Task001_BrainTumour,BRATS_005,-0.0002978428948008
Task001_BrainTumour,BRATS_006,-0.0004228972356022
Task001_BrainTumour,BRATS_007,-0.0003592515490625
Task001_BrainTumour,BRATS_008,-0.0003514307650549
Task001_BrainTumour,BRATS_009,-0.0007992683818673
Task001_BrainTumour,BRATS_010,-0.0004553518049102
Task001_BrainTumour,BRATS_011,-0.0006649518099288
Task001_BrainTumour,BRATS_012,0.0360225926078578
Task001_BrainTumour,BRATS_013,-0.0006166385900595
Task001_BrainTumour,BRATS_014,-0.0003224124227965
Task001_BrainTumour,BRATS_015,-0.0005082314015348
Task001_BrainTumour,BRATS_016,-0.000237064260564
Task001_BrainTumour,BRATS_017,-0.0001462073611693
Task001_BrainTumour,BRATS_018,-0.0004422303731856
Task001_BrainTumour,BRATS_019,-0.000853683543645
Task001_BrainTumour,BRATS_020,-0.0005180895545413
Task001_BrainTumour,BRATS_021,-0.0020953439145899
Task001_BrainTumour,BRATS_022,0.0026165817053709
Task001_BrainTumour,BRATS_023,-0.0069295335327587
Task001_BrainTumour,BRATS_024,-0.003658501222444
Task001_BrainTumour,BRATS_025,-0.002543406986274
Task001_BrainTumour,BRATS_026,-0.0007188388603549
Task001_BrainTumour,BRATS_027,0.0002429066586948
Task001_BrainTumour,BRATS_028,0.0003328910349174
Task001_BrainTumour,BRATS_029,0.0327221446885278
Task001_BrainTumour,BRATS_030,-0.0004399140269989
Task001_BrainTumour,BRATS_031,0.0007423187627387
Task001_BrainTumour,BRATS_032,0.0061116137940141
Task001_BrainTumour,BRATS_033,-0.0003475921822284
Task001_BrainTumour,BRATS_034,0.0040450749399199
Task001_BrainTumour,BRATS_035,5.79538935906454e-05
Task001_BrainTumour,BRATS_036,-0.0003647513479896
Task001_BrainTumour,BRATS_037,-0.0004057463579137
Task001_BrainTumour,BRATS_038,-0.0005521538464384
Task001_BrainTumour,BRATS_039,-0.0014765930403907
Task001_BrainTumour,BRATS_040,-0.0003802312225449
Task001_BrainTumour,BRATS_041,0.000577241959654
Task001_BrainTumour,BRATS_042,0.0026583978847131
Task001_BrainTumour,BRATS_043,-0.0004098257653586
Task001_BrainTumour,BRATS_044,-0.0001075609347509
Task001_BrainTumour,BRATS_045,-0.0004271063541734
Task001_BrainTumour,BRATS_046,-0.0016945558692595
Task001_BrainTumour,BRATS_047,-0.0012286595773385
Task001_BrainTumour,BRATS_048,5.8992364906695904e-05
Task001_BrainTumour,BRATS_049,-0.0024333647673859
Task001_BrainTumour,BRATS_050,-0.0014875498761364
Task001_BrainTumour,BRATS_051,-0.0006670066445548
Task001_BrainTumour,BRATS_052,0.0076196876163269
Task001_BrainTumour,BRATS_053,-0.0001238933005865
Task001_BrainTumour,BRATS_054,0.0008254854951224
Task001_BrainTumour,BRATS_055,-0.0007784361490662
Task001_BrainTumour,BRATS_056,-0.0005998647564754
Task001_BrainTumour,BRATS_057,0.0002704075568576
Task001_BrainTumour,BRATS_058,-0.0005858933408144
Task001_BrainTumour,BRATS_059,-0.0007889339089193
Task001_BrainTumour,BRATS_060,-0.00203127196822
Task001_BrainTumour,BRATS_061,-0.0007718056227045
Task001_BrainTumour,BRATS_062,-0.000257659847261
Task001_BrainTumour,BRATS_063,0.0010457505601518
Task001_BrainTumour,BRATS_064,-0.0012499834275168
Task001_BrainTumour,BRATS_065,4.529402781505709e-05
Task001_BrainTumour,BRATS_066,0.0007373616921223
Task001_BrainTumour,BRATS_067,0.0002324847939694
Task001_BrainTumour,BRATS_068,4.777812281220317e-05
Task001_BrainTumour,BRATS_069,0.0002138564914111
Task001_BrainTumour,BRATS_070,0.0008228664116227
Task001_BrainTumour,BRATS_071,-0.0004754949428098
Task001_BrainTumour,BRATS_072,-0.0012625853239073
Task001_BrainTumour,BRATS_073,0.0074616606164412
Task001_BrainTumour,BRATS_074,0.0115421656956695
Task001_BrainTumour,BRATS_075,-0.0020664503841821
Task001_BrainTumour,BRATS_076,-0.0016104504184129
Task001_BrainTumour,BRATS_077,0.045298528415056
Task001_BrainTumour,BRATS_078,0.0012426444572771
Task001_BrainTumour,BRATS_079,-4.732359452086499e-05
Task001_BrainTumour,BRATS_080,0.0002554544151428
Task001_BrainTumour,BRATS_081,-0.0013362862182477
Task001_BrainTumour,BRATS_082,-0.0010607824880399
Task001_BrainTumour,BRATS_083,-5.424670985698654e-05
Task001_BrainTumour,BRATS_084,-0.0002353465538283
Task001_BrainTumour,BRATS_085,0.0001835439522815
Task001_BrainTumour,BRATS_086,-0.0039350009473511
Task001_BrainTumour,BRATS_087,0.0001040673267836
Task001_BrainTumour,BRATS_088,0.0004092266029692
Task001_BrainTumour,BRATS_089,8.069921683695469e-05
Task001_BrainTumour,BRATS_090,-0.0019382243185558
Task001_BrainTumour,BRATS_091,-0.0002494755695707
Task001_BrainTumour,BRATS_092,0.0054791603746575
Task001_BrainTumour,BRATS_093,-0.0004343900511933
Task001_BrainTumour,BRATS_094,0.0002461057183946
Task001_BrainTumour,BRATS_095,-0.0022316375669668
Task001_BrainTumour,BRATS_096,-0.0023260802974969
Task001_BrainTumour,BRATS_097,-0.0004969545689914
Task001_BrainTumour,BRATS_098,-0.0005465989166699
Task001_BrainTumour,BRATS_099,0.0005953929376567
Task001_BrainTumour,BRATS_100,-0.0009984210294916
Task001_BrainTumour,BRATS_101,-0.0003533312701887
Task001_BrainTumour,BRATS_102,0.0002400279022465
Task001_BrainTumour,BRATS_103,0.0008228742430098
Task001_BrainTumour,BRATS_104,0.001224665605956
Task001_BrainTumour,BRATS_105,-0.0006746637526864
Task001_BrainTumour,BRATS_106,-0.0024870210773044
Task001_BrainTumour,BRATS_107,0.0002642798127541
Task001_BrainTumour,BRATS_108,0.0018363498712226
Task001_BrainTumour,BRATS_109,-8.404485277924145e-05
Task001_BrainTumour,BRATS_110,-0.0001706479378036
Task001_BrainTumour,BRATS_111,-0.000747309647693
Task001_BrainTumour,BRATS_112,0.0003507221837908
Task001_BrainTumour,BRATS_113,-2.353198962801173e-06
Task001_BrainTumour,BRATS_114,6.13300258340832e-05
Task001_BrainTumour,BRATS_115,-0.0057546078327069
Task001_BrainTumour,BRATS_116,0.0008834799972212
Task001_BrainTumour,BRATS_117,0.0009364781990907
Task001_BrainTumour,BRATS_118,-0.0004783621484704
Task001_BrainTumour,BRATS_119,0.0046482189302684
Task001_BrainTumour,BRATS_120,-0.0006642969765472
Task001_BrainTumour,BRATS_121,-0.0003678480564588
Task001_BrainTumour,BRATS_122,-8.704966671069236e-05
Task001_BrainTumour,BRATS_123,0.0006902676127793
Task001_BrainTumour,BRATS_124,-0.0010442396382625
Task001_BrainTumour,BRATS_125,-0.001178411863433
Task001_BrainTumour,BRATS_126,-0.0001744306856874
Task001_BrainTumour,BRATS_127,-0.0004113362026482
Task001_BrainTumour,BRATS_128,0.0073031421039324
Task001_BrainTumour,BRATS_129,-0.0013758059016369
Task001_BrainTumour,BRATS_130,0.012832176958313
Task001_BrainTumour,BRATS_131,0.0010053047976077
Task001_BrainTumour,BRATS_132,0.0005084992466977
Task001_BrainTumour,BRATS_133,0.0002086899336359
Task001_BrainTumour,BRATS_134,0.0054858322787763
Task001_BrainTumour,BRATS_135,0.0018799213821387
Task001_BrainTumour,BRATS_136,0.0001307678621594
Task001_BrainTumour,BRATS_137,-7.798577340967228e-05
Task001_BrainTumour,BRATS_138,-0.005284091513771
Task001_BrainTumour,BRATS_139,-0.0005601563437329
Task001_BrainTumour,BRATS_140,0.0002861936082416
Task001_BrainTumour,BRATS_141,-0.0003271648506816
Task001_BrainTumour,BRATS_142,0.0004105370298792
Task001_BrainTumour,BRATS_143,-0.0013003592140492
Task001_BrainTumour,BRATS_144,0.0003199824781265
Task001_BrainTumour,BRATS_145,0.0002121325045094
Task001_BrainTumour,BRATS_146,0.0018866194254091
Task001_BrainTumour,BRATS_147,-0.0010124371750926
Task001_BrainTumour,BRATS_148,0.0005690845596753
Task001_BrainTumour,BRATS_149,0.0036942133591184
Task001_BrainTumour,BRATS_150,0.0023423594375409
Task001_BrainTumour,BRATS_151,0.0015635186445895
Task001_BrainTumour,BRATS_152,-9.196323765814364e-05
Task001_BrainTumour,BRATS_153,0.0014991387141184
Task001_BrainTumour,BRATS_154,-0.0013438220418442
Task001_BrainTumour,BRATS_155,-0.0017127456934236
Task001_BrainTumour,BRATS_156,0.0004162348996212
Task001_BrainTumour,BRATS_157,-3.0070284925076685e-05
Task001_BrainTumour,BRATS_158,-0.0008047756657284
Task001_BrainTumour,BRATS_159,-0.0009169949848577
Task001_BrainTumour,BRATS_160,-0.0026398247630365
Task001_BrainTumour,BRATS_161,0.0013145369947599
Task001_BrainTumour,BRATS_162,0.0002471031361872
Task001_BrainTumour,BRATS_163,-0.001047697689243
Task001_BrainTumour,BRATS_164,-6.057131757764012e-05
Task001_BrainTumour,BRATS_165,0.0001615922463114
Task001_BrainTumour,BRATS_166,-4.004286573877636e-06
Task001_BrainTumour,BRATS_167,4.787525284632999e-05
Task001_BrainTumour,BRATS_168,6.134444315297749e-05
Task001_BrainTumour,BRATS_169,0.0017498366271002
Task001_BrainTumour,BRATS_170,0.000148960466756
Task001_BrainTumour,BRATS_171,1.147627797326578e-05
Task001_BrainTumour,BRATS_172,-6.092637883137186e-05
Task001_BrainTumour,BRATS_173,0.0001358676238015
Task001_BrainTumour,BRATS_174,-0.0006867986371877
Task001_BrainTumour,BRATS_175,-0.0007184488424636
Task001_BrainTumour,BRATS_176,0.0011100461635501
Task001_BrainTumour,BRATS_177,-0.001973510466256
Task001_BrainTumour,BRATS_178,0.0021223320362045
Task001_BrainTumour,BRATS_179,0.0060481076396836
Task001_BrainTumour,BRATS_180,-0.0004599184974329
Task001_BrainTumour,BRATS_181,0.0005667569413614
Task001_BrainTumour,BRATS_182,-1.4385958869933546e-05
Task001_BrainTumour,BRATS_183,0.0030848230885678
Task001_BrainTumour,BRATS_184,0.0005440439439786
Task001_BrainTumour,BRATS_185,0.0003107947215968
Task001_BrainTumour,BRATS_186,0.0018206163142087
Task001_BrainTumour,BRATS_187,0.0039402603705858
Task001_BrainTumour,BRATS_188,0.0004851688123171
Task001_BrainTumour,BRATS_189,0.0087016912415032
Task001_BrainTumour,BRATS_190,0.0004619493176607
Task001_BrainTumour,BRATS_191,-0.0001502385355154
Task001_BrainTumour,BRATS_192,0.00178160417696
Task001_BrainTumour,BRATS_193,-0.000440982144545
Task001_BrainTumour,BRATS_194,-0.0003161012452409
Task001_BrainTumour,BRATS_195,0.0007533533577221
Task001_BrainTumour,BRATS_196,-0.0005076858541848
Task001_BrainTumour,BRATS_197,0.0013420727696205
Task001_BrainTumour,BRATS_198,-0.0007404484161287
Task001_BrainTumour,BRATS_199,-6.944102223638282e-05
Task001_BrainTumour,BRATS_200,-0.0003736598864223
Task001_BrainTumour,BRATS_201,-0.0007395212237467
Task001_BrainTumour,BRATS_202,-7.239377354828491e-05
Task001_BrainTumour,BRATS_203,0.000278556858441
Task001_BrainTumour,BRATS_204,-0.0001238211522336
Task001_BrainTumour,BRATS_205,-0.0004281202790209
Task001_BrainTumour,BRATS_206,-0.0007317816328442
Task001_BrainTumour,BRATS_207,0.001188518992
Task001_BrainTumour,BRATS_208,-0.0016912101497785
Task001_BrainTumour,BRATS_209,-0.0002369409867196
Task001_BrainTumour,BRATS_210,-0.0004024469468502
Task001_BrainTumour,BRATS_211,-1.7238396953112023e-05
Task001_BrainTumour,BRATS_212,-0.0003981295287409
Task001_BrainTumour,BRATS_213,3.141501706749317e-05
Task001_BrainTumour,BRATS_214,-0.0005867957265097
Task001_BrainTumour,BRATS_215,-0.0001162033153083
Task001_BrainTumour,BRATS_216,-8.193200816830615e-05
Task001_BrainTumour,BRATS_217,0.0005799642512188
Task001_BrainTumour,BRATS_218,0.0054711801164391
Task001_BrainTumour,BRATS_219,-0.0001091752503997
Task001_BrainTumour,BRATS_220,0.000404581198502
Task001_BrainTumour,BRATS_221,-0.0003210052131215
Task001_BrainTumour,BRATS_222,0.0001044033555132
Task001_BrainTumour,BRATS_223,0.0009667262732988
Task001_BrainTumour,BRATS_224,0.0004881831685789
Task001_BrainTumour,BRATS_225,0.0002412457598616
Task001_BrainTumour,BRATS_226,-0.0015517175540384
Task001_BrainTumour,BRATS_227,0.0011017231767067
Task001_BrainTumour,BRATS_228,-0.0001245462824146
Task001_BrainTumour,BRATS_229,0.0002406397998748
Task001_BrainTumour,BRATS_230,0.0001791327988093
Task001_BrainTumour,BRATS_231,-0.0038396783150032
Task001_BrainTumour,BRATS_232,-0.0008063784058596
Task001_BrainTumour,BRATS_233,0.0083408050671738
Task001_BrainTumour,BRATS_234,0.0001055505936016
